Number,Artist
331,The Beatles
332,Richard & Linda Thompson
333,X
334,Graham Parker & The Rumour
335,Soundgarden
336,Radiohead
337,Jethro Tull
338,Big Brother & the Holding Company
339,Tom Waits
340,Black Flag
341,Moby
342,Depeche Mode
343,Meat Loaf
344,Lou Reed
345,Talking Heads
346,De La Soul
347,Pink Floyd
348,Muddy Waters
349,Jay Z
350,The Yardbirds
351,Neil Young & Crazy Horse
352,Dire Straits
353,Kanye West
354,Billy Joel
355,The Yardbirds
356,Randy Newman
357,The Rolling Stones
358,Miles Davis
359,Elton John
360,Buzzcocks
361,OutKast
362,The Smashing Pumpkins
363,New Order
364,The Doors
365,Rage Against the Machine
366,Johnny Cash
367,Madonna
368,Eagles
369,The Smiths
370,Mott the Hoople
371,Arctic Monkeys
372,The Police
373,Jefferson Airplane
374,Roxy Music
375,Jackson Browne
376,Bjork
377,John Lee Hooker
378,Oasis
379,TLC
380,Toots & The Maytals
381,The Beach Boys
382,The Modern Lovers
383,Talking Heads
384,The Who
385,Bob Dylan
386,Steely Dan
387,Wu Tang Clan
388,Various Artists
389,Don Henley
390,The White Stripes
391,Jackson Browne
392,The Beatles
393,M.I.A.
394,Randy Newman
395,LCD Soundsystem
396,Roxy Music
397,Massive Attack
398,ZZ Top
399,Tom Waits
400,The Temptations
401,Red Hot Chili Peppers
402,Nas
403,Lynyrd Skynyrd
404,Dr. John
405,Big Star
406,PJ Harvey
407,The Clash
408,Sinead O'Connor
409,The Doors
410,Bob Dylan
411,Eric Clapton
412,Wire
413,Minutemen
414,The Go Go's
415,Van Halen
416,Tom Waits
417,U2
418,Paul McCartney & Wings
419,Portishead
420,The Crickets
421,Various Artists
422,The Ronettes
423,Diana Ross & The Supremes
424,Bruce Springsteen
425,Gram Parsons
426,Cheap Trick
427,Peter Wolf
428,The Police
429,Brian Eno
430,Vampire Weekend
431,PJ Harvey
432,Brian Eno
433,George Harrison
434,Big Star
435,Nirvana
436,Beck
437,Lil Wayne
438,The Cure
439,Sam Cooke
440,The Pogues
441,Suicide
442,DEVO
443,Cheap Trick
444,War
445,Steve Miller Band
446,MC5
447,Stan Getz/Joao Gilberto featuring Antonio Carlos Jobim
448,The Police
449,Big Star
450,Jackson Browne
451,Amy Winehouse
452,John Prine
453,EPMD
454,Alice Cooper
455,Los Lobos
456,Marvin Gaye
457,My Morning Jacket
458,Elton John
459,The Drifters
460,Hole
461,Public Image Ltd.
462,R.E.M.
463,Echo and The Bunnymen
464,Def Leppard
465,The Magnetic Fields
466,Coldplay
467,Bruce Springsteen
468,The Paul Butterfield Blues Band
469,Fugees
470,L.L. Cool J
471,Richard & Linda Thompson
472,George Michael
473,The Smiths
474,Manu Chao
475,Elvis Costello & The Attractions
476,The Notorious B.I.G.
477,Merle Haggard
478,Loretta Lynn
479,Funkadelic
480,Raekwon
481,D'Angelo
482,Steve Earle
483,Gang of Four
484,Mott the Hoople
485,Pearl Jam
486,Earth, Wind & Fire
487,Cyndi Lauper
488,Husker Du
489,KISS
490,ZZ Top
491,Albert King
492,Eurythmics
493,Wilco
494,MGMT
495,Bonnie Raitt
496,Boz Scaggs
497,The White Stripes
498,The Stone Roses
499,B.B. King
500,OutKast
