Sgt. Pepper\'s Lonely Hearts Club Band,Rock & Roll, Psychedelic Rock
Pet Sounds,Pop Rock, Psychedelic Rock
Revolver,Psychedelic Rock, Pop Rock
Highway 61 Revisited,Rock
Rubber Soul,Rock, Pop
